_key,player_id,player_name,age_start,year_start,year_end,last_name
SancMa00,SancMa00,Mark Sanchez,23,2009,2018,Sanchez
SchaMa00,SchaMa00,Matt Schaub,23,2004,2019,Schaub
SchoTu00,SchoTu00,Turk Schonert,24,1981,1989,Schonert
SchrJa00,SchrJa00,Jay Schroeder,24,1985,1994,Schroeder
ScotBo00,ScotBo00,Bobby Scott,24,1973,1981,Scott
ShawDe00,ShawDe00,Dennis Shaw,23,1970,1975,Shaw
ShawGe00,ShawGe00,George Shaw,22,1955,1961,Shaw
ShinDi00,ShinDi00,Dick Shiner,22,1964,1974,Shiner
ShulHe00,ShulHe00,Heath Shuler,23,1994,1997,Shuler
SiemTr00,SiemTr00,Trevor Siemian,25,2016,2021,Siemian
SimmCh00,SimmCh00,Chris Simms,24,2004,2009,Simms
SimmPh00,SimmPh00,Phil Simms,24,1979,1993,Simms
SipeBr00,SipeBr00,Brian Sipe,25,1974,1983,Sipe
SkelJo00,SkelJo00,John Skelton,22,2010,2012,Skelton
SmitAl03,SmitAl03,Alex Smith,21,2005,2020,Smith
SmitGe00,SmitGe00,Geno Smith,23,2013,2021,Smith
SneaNo00,SneaNo00,Norm Snead,22,1961,1976,Snead
SpurSt00,SpurSt00,Steve Spurrier,22,1967,1976,Spurrier
StabKe00,StabKe00,Ken Stabler,25,1970,1984,Stabler
StafMa00,StafMa00,Matthew Stafford,21,2009,2021,Stafford
StanDr00,StanDr00,Drew Stanton,24,2008,2017,Stanton
StarBa00,StarBa00,Bart Starr,22,1956,1971,Starr
StauRo00,StauRo00,Roger Staubach,27,1969,1979,Staubach
StewKo00,StewKo00,Kordell Stewart,23,1995,2003,Stewart
StouCl00,StouCl00,Cliff Stoudt,25,1980,1988,Stoudt
StroDo00,StroDo00,Don Strock,25,1975,1988,Strock
SweeKa00,SweeKa00,Karl Sweetan,24,1966,1970,Sweetan
TagoTu00,TagoTu00,Tua Tagovailoa,22,2020,2021,Tagovailoa
TannRy00,TannRy00,Ryan Tannehill,24,2012,2021,Tannehill
TarkFr00,TarkFr00,Fran Tarkenton,21,1961,1978,Tarkenton
TaylTy00,TaylTy00,Tyrod Taylor,22,2011,2021,Taylor
TestVi00,TestVi00,Vinny Testaverde,24,1987,2007,Testaverde
TheiJo00,TheiJo00,Joe Theismann,25,1974,1985,Theismann
ThigTy00,ThigTy00,Tyler Thigpen,23,2007,2012,Thigpen
ThomBo02,ThomBo02,Bobby Thomason,23,1951,1957,Thomason
ThomJa00,ThomJa00,Jack Thompson,23,1979,1984,Thompson
TittY.00,TittY.00,Y.A. Tittle,24,1950,1964,Tittle
ToddRi00,ToddRi00,Richard Todd,23,1976,1985,Todd
TollBi00,TollBi00,Billy Joe Tolliver,23,1989,1999,Joe Tolliver
TomcMi00,TomcMi00,Mike Tomczak,23,1985,1999,Tomczak
TrubMi00,TrubMi00,Mitchell Trubisky,23,2017,2021,Trubisky
TrudJa00,TrudJa00,Jack Trudeau,24,1986,1995,Trudeau
TupaTo20,TupaTo20,Tom Tupa,22,1988,2002,Tupa
UnitJo00,UnitJo00,Johnny Unitas,23,1956,1973,Unitas
VanBNo00,VanBNo00,Norm Van Brocklin,24,1950,1960,Van Brocklin
VickMi00,VickMi00,Michael Vick,21,2001,2015,Vick
VoleBi00,VoleBi00,Billy Volek,25,2001,2010,Volek
WadeBi00,WadeBi00,Billy Wade,24,1954,1966,Wade
WallSe00,WallSe00,Seneca Wallace,25,2005,2013,Wallace
